propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,highlight,newDevelopmentFinished
104583595,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ac/7a/e5/1225150995.webp,3009_003269,9,5,795000.0,"{'price': {'amount': 795000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 975000.0, 'priceDropValue': 180000, 'priceDropPercentage': 18}}}",flat,sale,173.0,True,3,2,calle Girona,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3427742,-0.485233,False,https://www.idealista.com/inmueble/104583595/,437,"Os presentamos esta espectacular vivienda en la mejor y más animada zona de Alicante, rodeada de todos los servicios y a pocos metros de las prestigiosas playas de la ciudad. La vivienda ha sido recientemente reformada íntegramente, con unas calidades increíbles, haciendo de esta propiedad única por sus características, habiendo sido renovada instalación eléctrica y toda la fontanería. Dotada de todas las comodidades, se distribuye en un gran salón comedor con chimenea haciendo esquina en el edificio, con espectaculares ventanales en toda la pared, una cocina moderna y totalmente equipada con isla de mármol y electrodomésticos de primeras marcas, dos dormitorios dobles con control de aire acondicionado independiente y armario empotrado, baño completo para dormitorios pequeños y vestidor, y un dormitorio principal de grandes dimensiones con vestidor y baño incorporado. Las calidades de la vivienda son lo que la hacen única: dispone de chimenea de vapor en el salón con control remoto permitiendo que cambie de color para darle diferentes ambientes, todas las ventanas con puertas oscilobatientes y triple acristalamiento con cámara de aire para un mejor aislamiento térmico y acústico, carpintería interior de roble macizo, suelos con calefacción radiante de tarima de roble austríaco en salón y dormitorios, suelo porcelánico en cocina y baños combinados con mármol de Brasilia y un sinfín de detalles que te sorprenderán. La vivienda, localizada muy cerca del Teatro Principal, la conocida Rambla de Méndez Núñez y la playa del Postiguet y el puerto deportivo, se encuentra en un entorno privilegiado para disfrutar de esta maravillosa ciudad. No dejes escapar la oportunidad de visitarla y contacta con nosotros para concertar una cita.",True,good,False,True,4595.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en calle Girona'}",True,False,False,False,False,False,,,
105487332,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/83/d2/50/1253780343.webp,AL3-786,20,3,180000.0,"{'price': {'amount': 180000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 210000.0, 'priceDropValue': 30000, 'priceDropPercentage': 14}}}",flat,sale,91.0,True,2,1,plaza de Castelló,Alicante,Alicante / Alacant,Campoamor-Carolinas-Altozano,es,Carolinas Bajas,38.3532222,-0.484295,False,https://www.idealista.com/inmueble/105487332/,952,"Daurum Alicante ofrece oportunidad de vivienda para reformar, de 3 habitaciones en Las Carolinas Bajas. Sin ascensor. 91 m2 construidos. Orientación este.   Salón - comedor amplio y luminoso con salida al balcón. Salita comedor con cocina americana con galerían 2 habitaciones, uno de matrimonio y otro individual. 1 baño con bañera. Ventanas de aluminio, puertas de madera, suelo de terrazo y pintura gotelé. Armario empotrado en la habitación principal. Aire acondicionado en la estancia principal. Preinstalación de gas natural y termo - eléctrico. Ubicados a solo 10 minutos a pie del centro de Alicante, en una zona tranquila y familiar, con supermercados, colegios y farmacias cerca. La Plaza de Toros y otras comodidades están a pocos pasos, y hay fácil acceso a transporte público y vías principales. NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA. Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra – venta sea nuestra la vivienda o no. INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio. Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,renew,False,False,1978.0,{'typology': 'flat'},"{'subtitle': 'Carolinas Bajas, Alicante / Alacant', 'title': 'Piso en plaza de Castelló'}",False,False,False,False,False,False,,,
104676994,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/35/83/1228231519.webp,1901,33,4,875000.0,"{'price': {'amount': 875000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 990000.0, 'priceDropValue': 115000, 'priceDropPercentage': 12}}}",flat,sale,204.0,True,4,3,plaza Paseíto Ramiro,Alicante,Alicante / Alacant,Centro,es,Casco Histórico-Santa Cruz,38.3449108,-0.4787486,False,https://www.idealista.com/inmueble/104676994/,207,"INMOBILIARIA STUDIO CENTRO LE PRESENTA ESTA MAGNIFICA VIVIENDA DE MAS DE 200M, EN UN EMBLEMÁTICO EDIFICO DE LA ZONA DEL AYUNTAMIENTO FRENTE A LA PLAYA DEL POSTIGUET Y EN UN ENCLAVE EXCLUSIVO A POCOS METROS DE LA PLAYA, EL PUERTO Y LA EXPLANADA.  Vivienda frente al mar en la playa del Postiguet, Esta impresionante vivienda de 204m2 se encuentra en primera línea, ofre unas impresionantes vistas a la playa del Postiguet y a toda la bahia de Alicante. Ubicada en un edificio emblemático, ha sido completamente reformada, fusionando la esencia de su arquitectura histórica con el lujo contemporáneo y minimalista.  La vivienda tiene 4 grandes dormitorios, 3 baños, cocina y terraza con vistas al castillo Santa Barbara. Su gran recibidor donde da acceso a dos dormitorios, uno de ellos convertido en una acogedora sala de estudio, la cocina, un espacio moderno y funcional, con acceso a la acogedora terraza privada y el Salón-comedor en dos ambientes diferentes, donde podrás apreciar las impresionantes y privilegiadas vistas al mar. El Salón es la joya de la vivienda aparte de su gran salón comedor se encuentra en el dormitorio principal, que ofrece un refugio de lujo con vestidor con impresionantes vistas al mar y baño en suite. Equipada con electrodomésticos de máxima calidad y mobiliario de diseño brindando excelente calidad y confort, esta residencia cuenta con ventanas de doble climalit con corte acústico y térmico para aislar el ruido, persianas automáticas, aire acondicionado por conductos y calefacción central por gas ciudad en toda la casa. Puerta de seguridad y ascensor con acceso directo a la plaza de garaje. -Si estas interesado en vender tu casa, para adquirir otra vivienda podemos ayudarte a venderla de forma rápida, y hacer que la nueva compra de tu vivienda te sea mas fácil, nos encargamos de todos los tramites sin costes para ti.  COMPRAMOS AL CONTADO VIVIENDAS EN: Centro, Playa San Juan, Albufera, Cabo Huerta, Muchavista, Campello, Benalúa, Alipark, San Blas, Florida, Ciudad de Asís, Carolinas, Campoamor, Altozano, Los Ángeles, Plà, San Vicente del Raspeig, con o sin ascensor,  (No debe ser Vivienda de Protección Oficial) (En caso de no tener ascensor, debe ser máximo un 3ª piso). Inmobiliaria Studio Centro le asesora en todo el proceso de compra de su vivienda. Somos expertos en la venta de viviendas, edificios, hoteles, locales, solares, edificios destinados a parkings, plazas de garaje y otros activos inmobiliarios. -Estamos especializados en las tramitaciones de herencias y declaraciones de herederos, gestionamos todo el proceso.  Comercializamos alquileres de viviendas, locales y garajes.  Mas de 160 reseñas em Google avalan nuestra profesionalidad. -Disponemos de una sección especializada en la venta de Hoteles. Edificios. Empresas. Negocios. Grandes inversiones. Además de áreas de reformas, diseño y decoración con gabinete propio.  -Gestoría para cualquier tipo de tramitación administrativa urbanística, especializada en herencias, legalización de chalets y otros tramites. -Tenemos una amplia cartera de inmuebles en Alicante y otras provincias en España y fuera de España a las que pueden acceder fácilmente a través de nuestras páginas web -Nuestras redes sociales: Instagram: inmobiliariastudiocentro Instagram: studiocentrodubai No duden en ponerse en contacto con nosotros para lo que necesiten. -Oficinas en el centro de Alicante, Calle Balando número 14 bajo.  -Oficinas en Business Bay, avenida Emaar, Dubái, EAU. -Hablamos Frances, Ingles, árabe y español.  (El presente documento tiene carácter meramente informativo, es orientativo y no vinculante, por lo que no supone información contr.",True,good,False,True,4289.0,{'typology': 'flat'},"{'subtitle': 'Casco Histórico-Santa Cruz, Alicante / Alacant', 'title': 'Piso en plaza Paseíto Ramiro'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",{'groupDescription': 'Top'},
105021024,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/2c/d7/1242738253.webp,,25,2,106000.0,"{'price': {'amount': 106000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 119900.0, 'priceDropValue': 13900, 'priceDropPercentage': 12}}}",flat,sale,80.0,True,3,1,calle General Prim,Alicante,Alicante / Alacant,Campoamor-Carolinas-Altozano,es,Campoamor,38.3554025,-0.4890919,False,https://www.idealista.com/inmueble/105021024/,1347,"¡Descubre tu nuevo hogar en el corazón de Alicante! Este encantador piso de 80 m² te ofrece una ubicación inmejorable, rodeado de tiendas, bancos, supermercados y a pocos pasos del ADDA, la plaza de toros y las avenidas de Alcoy y Jijona. Con tres dormitorios, dos de ellos dobles, y un baño, esta vivienda es ideal para familias o parejas que buscan espacio y comodidad. La cocina independiente y cuenta con una galería anexa, perfecta para tus tareas diarias. El salón comedor de 20 m² es un espacio acogedor y luminoso, ideal para disfrutar de momentos en familia o con amigos. Además, el piso dispone de un balcón muy soleado donde podrás relajarte y disfrutar del clima mediterráneo. Este piso se encuentra en excelente estado y se vende amueblado y equipado, listo para entrar a vivir. La comunidad es muy tranquila, lo que facilita el acceso a la vivienda situada en la segunda planta. También dispone de un lavadero adicional que añade funcionalidad a la propiedad. No pierdas la oportunidad de vivir en un entorno céntrico y bien comunicado, con todas las comodidades a tu alcance. ¡Contacta con nosotros para más información y ven a visitar este maravilloso piso en Alicante!",False,good,False,False,1325.0,{'typology': 'flat'},"{'subtitle': 'Campoamor, Alicante / Alacant', 'title': 'Piso en calle General Prim'}",False,False,False,False,False,False,,,
103563642,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/90/57/1251474866.webp,8709,23,4,395000.0,"{'price': {'amount': 395000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 450000.0, 'priceDropValue': 55000, 'priceDropPercentage': 12}}}",flat,sale,108.0,True,3,2,barrio Ensanche-Diputación,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3445389,-0.4907604,False,https://www.idealista.com/inmueble/103563642/,842,"Gran lujo - se vende precioso y amplio piso 4º con ascensor, en la avenida maisonnave de alicante, reformada integralmente a estrenar, en zona de alto standing de su centro, frente a el corte ingles de federico soto, a menos de 300 metros de la estacion de trenes y tranvía, y a menos de 500, de la explanada de españa, del puerto deportivo y de la playa del postiguet. 108 m2 vivienda, en edificio con ascensor y sin barreras arquitectónicas para personas minusválidas, con conserje físico y recogida de basuras por el mismo. Con 3 amplios dormitorios con armarios empotrados, 2 baños completos, amplio salón comedor con cocina abierta y electrodomésticos de alta gama ocultos en su mobiliario, etc. Cocina totalmente equipada de electrodomésticos de alta gama, con lavadora y secadora ocultas en su mobiliario. Aire acondicionado frio - calor por conductos, en todas las estancias. Primeras calidades: carpintería interior de maderas y laminados lacadas en blanco, y carpintería exterior de pvc con doble apertura oscilobatiente y doble acristalamiento y rotura de puente térmico para un total aislamiento termo-acústico reforzado en todas las estancias de la vivienda, suelos de parquet de madera, y porcelánicos en los baños, wc con corriente de agua para lavado y secado automático, evitando el uso de papel higiénico, zona de lavado y planchado oculta en su mobiliario, armarios empotrados ocultos en paredes, instalaciónes de tv ocultas y colgadas en paredes de todas las estancias, grifería de diseño, sanitarios suspendidos, iluminación led en todas las estancias, e indirecta y oculta en la cocina, videoportero, puerta blindada, etc. Antiguedad del año 1.998, reformada integralmente, a estrenar, en primerísimas calidades de gran lujo, en impecable estado. Junto a paradas de autobuses, trenes y tranvía, y a todos los servicios públicos y privados, en la zona mas elitista del centro de la ciudad de alicante, en la avenida maisonnave, frente a el corte inglés de federico soto, a 11 kilómetros de sus aeropuerto, a 6 del campo de golf de la playa de san juan, a menos de 300 metros de la estacion de trenes y tranvía, y a y a menos de 500, de la explanada de españa, del puerto deportivo y de la playa del postiguet.",False,good,False,True,3657.0,{'typology': 'flat'},"{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Piso'}",False,False,False,False,False,False,,,
105808699,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/dc/8b/1263644360.webp,JV25,8,bj,150000.0,"{'price': {'amount': 150000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 170000.0, 'priceDropValue': 20000, 'priceDropPercentage': 12}}}",studio,sale,40.0,True,0,1,barrio Raval Roig-Virgen del Socorro,Alicante,Alicante / Alacant,Plà del Bon Repòs-La Goteta-San Antón,es,Raval Roig-Virgen del Socorro,38.3522686,-0.4721611,False,https://www.idealista.com/inmueble/105808699/,1122,"¡Magnífico loft de 40 m² a solo 5 minutos de la Playa del Postiguet con vistas al mar! Este acogedor y luminoso loft está situado en una ubicación inmejorable en Alicante, ideal para quienes buscan un estilo de vida cómodo y cercano al mar. Características principales: Superficie: 40 m² bien aprovechados. Ubicación: A tan solo 5 minutos a pie de la Playa del Postiguet y a 10 minutos del Centro Comercial Plaza Mar 2. Transporte: Excelentes conexiones con transporte público. Paradas de tranvía y autobús a pocos metros. Vistas despejadas: Disfruta de vistas abiertas que aportan una sensación de amplitud. Orientación sur: El loft es muy luminoso durante todo el día. Ascensor: Acceso cómodo y sin barreras arquitectónicas. Este loft es perfecto para aquellos que deseen disfrutar de la vida costera, a pocos minutos del centro de Alicante y con todos los servicios al alcance. No pierdas la oportunidad de visitarlo. ¡Te encantará!",False,good,False,True,3750.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Raval Roig-Virgen del Socorro, Alicante / Alacant', 'title': 'Estudio'}",False,False,False,False,False,False,,,
105722289,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/9c/9d/1261050592.webp,2981,41,1,239000.0,"{'price': {'amount': 239000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 269000.0, 'priceDropValue': 30000, 'priceDropPercentage': 11}}}",flat,sale,75.0,True,3,1,calle Navas,Alicante,Alicante / Alacant,Centro,es,Centro Tradicional,38.3442757,-0.4885125,False,https://www.idealista.com/inmueble/105722289/,650,"Piso de 3 dormitorios en pleno centro de Alicante. La vivienda se encuentra en la primera planta de un edificio con ascensor y tiene mucho encanto. Está ubicada en una zona inmejorable, en pleno centro de Alicante, a un paso del puerto, del ayuntamiento y con todos los servicios a su alrededor.  Al entrar accedemos a un coqueto recibidor, que da acceso al amplio salón - comedor, todo exterior y con balcón. Esta estancia es amplia, cómoda, agradable y luminosa. El pasillo nos permite acceder a el resto de estancias de la propiedad. La cocina es independiente y está completamente amueblada y equipada. La cocina tiene acceso directo a un patio interior, donde se puede colocar la zona de lavadero, además de utilizar como espacio exterior extra. La vivienda cuenta con 2 dormitorios completos y una tercera habitación que tiene un sinfín de posibilidades. esta estancia podría ser el tercer dormitorio, un vestidos muy grande, la oficina en casa, etc. El cuarto de baño está reformado y equipado.  Como extras, la vivienda incluye aire acondicionado en la zona de estar, lo que permite que la climatización sea excelente, tanto en verano como en invierno.  Lo mejor, sin duda, es su excelente ubicación, en una de las mejores zonas de la ciudad de Alicante. Alrededor de la propiedad tiene acceso a todo tipo de servicios, además de una oferta de ocio y restauración inmejorable. Esta vivienda es también una propuesta genial para inversores que quieren rentabilizar su propiedad en el centro de Alicante.",True,good,False,True,3187.0,{'typology': 'flat'},"{'subtitle': 'Centro Tradicional, Alicante / Alacant', 'title': 'Piso en calle Navas'}",False,False,True,False,False,False,,{'groupDescription': 'Destacado'},
103616463,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/3a/1a/1195016815.webp,00722,33,4,315000.0,"{'price': {'amount': 315000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 350000.0, 'priceDropValue': 35000, 'priceDropPercentage': 10}}}",penthouse,sale,103.0,True,2,2,calle Josep Maria Py,Alicante,Alicante / Alacant,Centro,es,Ensanche-Diputación,38.3478411,-0.491096,False,https://www.idealista.com/inmueble/103616463/,924,"Sumérgete en la belleza y elegancia de este precioso ático situado en el mismísimo centro de Alicante. Una joya arquitectónica completamente reformada, esta propiedad ofrece un estilo de vida de lujo y confort. En su distribución de dos alturas, la primera planta cautiva con 2 amplias habitaciones con armarios empotrados, 2 baños completos, uno de ellos en Suite, y un generoso salón que se abre a una terraza, permitiendo que la luz natural bañe cada rincón. La cocina, totalmente equipada y con una galería, es el espacio perfecto para dar rienda suelta a tus habilidades culinarias. Esta vivienda de dos alturas combina a la perfección el diseño moderno con la comodidad. La terraza, un rincón de paz en el corazón de la ciudad, se convierte en el espacio ideal para disfrutar de las noches mediterráneas o relajarse en cualquier momento del día. Pero eso no es todo. Una escalera de caracol te lleva a la planta superior, donde un amplio espacio de chill out y una zona de jacuzzi te esperan. Aquí, la ciudad se despliega ante ti, creando un ambiente idílico para tus momentos de tranquilidad. Este ático no es solo una vivienda, es un estilo de vida elevado. Cada detalle, desde la cuidada selección de acabados hasta la distribución inteligente de los espacios, ha sido pensado para ofrecer una experiencia residencial sin igual. ¿Listo para elevar tu vida cotidiana a un nuevo estándar de elegancia? Este ático es la respuesta. Contáctanos y haz de este oasis urbano tu hogar.",False,good,False,True,3058.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Ensanche-Diputación, Alicante / Alacant', 'title': 'Ático en calle Josep Maria Py'}",True,True,True,False,False,False,,{'groupDescription': 'Destacado'},
104071445,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/15/65/1208837799.webp,V4596-4,50,7,1200000.0,"{'price': {'amount': 1200000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 1340000.0, 'priceDropValue': 140000, 'priceDropPercentage': 10}}}",penthouse,sale,156.0,True,4,3,"calle de la Virgen del Socorro, 61",Alicante,Alicante / Alacant,Plà del Bon Repòs-La Goteta-San Antón,es,Raval Roig-Virgen del Socorro,38.3493753,-0.4743773,True,https://www.idealista.com/inmueble/104071445/,761,"EXCLUSIVO ÁTICO EN VENTA CON ESPECTACULARES VISTAS AL MAR Y AL CASTILLO DE SANTA BÁRBARA Bienvenidos al lujo y a la serenidad en este espectacular ático de dos niveles ubicado en el corazón de alicante. Desde sus impresionantes vistas panorámicas hasta sus modernas comodidades, posibilidad de llegar andando al centro y a todos los establecimientos mas importantes de la ciudad. Esta residencia ofrece una experiencia de vida única.  La características destacadas de este inmueble son las vistas panorámicas a la bahía de Alicante y al Castillo de Santa Barbara, símbolo de la ciudad, que se pueden admirar desde todos los dormitorios que se distribuyen en las dos plantas. El ático es totalmente exterior permitiendo que la vivienda esté prácticamente todo el día iluminada con luz natural. En la primera planta nos encontramos con una moderna cocina, abierta que se convierte en el corazón del hogar, equipada con todos los electrodomésticos necesarios. El amplio salón y el dormitorio principal con baño en suite ofrecen un oasis de tranquilidad con vistas al mar.  La joya de la corona es la planta superior con un solarium de 200 m2 para relajarse y disfrutar del sol. Equipada de una cocina de verano, aseo y un apartamento de invitados completo con entrada privada. Ofrece las magnificas vistas de los emblemas de la ciudad, el mar y el castillo.  La vivienda dispone de aire acondicionado centralizado, ventiladores en todos los dormitorios y calefacción central por bomba de calor.  Incluye la posibilidad de poder adquirir dos plazas de garaje en sótano, al precio de 30.000 euros cada una. Esta propiedad es mucho mas que una casa: es un ESTILO DE VIDA. Disfruta de Alicante y todas las comodidades que esta residencia tiene para ofrecer.  No pierdas la oportunidad de hacer de este lugar tu hogar!",True,good,False,True,7692.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Raval Roig-Virgen del Socorro, Alicante / Alacant', 'title': 'Ático en calle de la Virgen del Socorro, 61'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},
105042754,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/2f/40/1251497146.webp,,21,en,147800.0,"{'price': {'amount': 147800.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 165000.0, 'priceDropValue': 17200, 'priceDropPercentage': 10}}}",flat,sale,75.0,True,3,2,calle Cardenal Belluga,Alicante,Alicante / Alacant,San Blas-Pau,es,Santo Domingo,38.3456661,-0.4948808,False,https://www.idealista.com/inmueble/105042754/,1202,"¡Oportunidad única en San Blas, a solo 5 minutos de Luceros! OPCION ALQUILER OPCION COMPRA Este espacioso piso de 95 m² construidos y 90 m² útiles es la inversión perfecta para aquellos que buscan una propiedad rentable para alquilar. Consta de 3 habitaciones, 1 baño completo y 1 aseo, y un patio exterior, ideal para familias o grupos de estudiantes. El inmueble es exterior, lo que asegura una excelente iluminación natural durante todo el día gracias a su orientación Este. El piso se encuentra en buen estado y cuenta con acabados de calidad como suelos cerámicos, puertas lacadas en blanco y ventanas de aluminio. Además, se entrega amueblado (sin electrodomésticos), lo que facilita su uso inmediato. Los armarios empotrados en las habitaciones ofrecen un amplio espacio de almacenamiento, optimizando cada metro cuadrado de esta vivienda. Ubicado en una entreplanta con acceso adaptado para personas con movilidad reducida y equipado con ascensor, este piso es accesible para todos. Su ubicación estratégica en San Blas, cerca de servicios, transporte público y zonas comerciales, lo convierte en una opción muy atractiva tanto para vivir como para invertir. ¡No pierdas esta oportunidad y contáctanos para más información o para agendar una visita! El anunciante no se hace responsable de posibles errores en el anuncio.",False,good,False,True,1971.0,{'typology': 'flat'},"{'subtitle': 'Santo Domingo, Alicante / Alacant', 'title': 'Piso en calle Cardenal Belluga'}",False,False,False,False,False,False,,{'groupDescription': 'Destacado'},
