propertyCode,thumbnail,externalReference,numPhotos,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,floor,highlight,parkingSpace,newDevelopmentFinished
105486496,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/df/ec/1253745367.webp,PIS0275,17,82000.0,"{'price': {'amount': 82000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 100000.0, 'priceDropValue': 18000, 'priceDropPercentage': 18}}}",flat,sale,92.0,True,3,1,barrio Pont Nou-Corazón de Jesús,Alicante,Elche / Elx,Elche Ciudad,es,Pont Nou-Corazón de Jesús,38.2639863,-0.7052804,False,https://www.idealista.com/inmueble/105486496/,558,"Se vende piso en zona calle reina victoria elche alicante tiene 92m2 es un 5to sin acensor con 3 dormitorios, salon, cocina, baño, balcon, suelo ceramico, puertas de madera, ventanas climalit, sistema electrico cambiado. El piso incluye un trastero en la terraza superior.  se deja amueblado! piso muy luminoso y cerca de todos los servicios muy bien comunicado!  llamenos se lo enseñamos sin compromiso! [iw].",False,good,False,False,891.0,{'typology': 'flat'},"{'subtitle': 'Pont Nou-Corazón de Jesús, Elche / Elx', 'title': 'Piso'}",False,False,False,False,False,False,,,,
104305477,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/83/f1/1216158183.webp,0267,25,249500.0,"{'price': {'amount': 249500.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 290000.0, 'priceDropValue': 40500, 'priceDropPercentage': 14}}}",flat,sale,205.0,True,3,2,"avenida en Joan Carles I, 4",Alicante,Elche / Elx,Elche Ciudad,es,Centro,38.2663721,-0.6948793,True,https://www.idealista.com/inmueble/104305477/,388,"¡Gran oportunidad! Se vende amplio y luminoso piso de 205 m2 construidos, situado en el corazón del Centro de Elche. Este encantador hogar cuenta con una ubicación privilegiada, cerca de todos los servicios y comodidades que ofrece la ciudad. Con una distribución funcional, el piso ofrece espacios bien aprovechados y una excelente entrada de luz natural. Dispone de 3 habitaciones 2 baños, amplio salón, salita, patio interior y balcón. ¡Plaza de garaje opcional!",False,good,False,True,1217.0,{'typology': 'flat'},"{'subtitle': 'Centro, Elche / Elx', 'title': 'Piso en avenida en Joan Carles I, 4'}",False,False,False,False,False,False,3,,,
104584339,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0c/fb/bc/1225177918.webp,11299,19,249500.0,"{'price': {'amount': 249500.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 290000.0, 'priceDropValue': 40500, 'priceDropPercentage': 14}}}",flat,sale,190.0,True,4,2,avenida en Joan Carles I,Alicante,Elche / Elx,Elche Ciudad,es,Centro,38.2647048,-0.6938022,False,https://www.idealista.com/inmueble/104584339/,464,"Zona centro, vivienda a la venta de 190 m2, 4 dormitorios, 2 baños, salón, cocina y galería. Ubicada en una zona privilegiada de Elche, cercano a la glorieta y a las Jesuitinas. Rodeada de todo tipo de servicios. Vivienda en buen estado de conservación. Precio de venta 290.000 € Piso en Elche zona Centro, 190.00 m. de superficie, 4 habitaciones dobles, 2 baños, propiedad en Buen estado, carpinteria interior de madera, orientación norte, suelo de mármol, carpinteria exterior de madera. Extras: ascensor, galeria, autobuses, árboles, céntrico, cerca de universidad, colegios, hospitales, parques, supermercados, zona de paso, zonas infantiles  Venta: 290000 €.",False,good,False,True,1313.0,{'typology': 'flat'},"{'subtitle': 'Centro, Elche / Elx', 'title': 'Piso en avenida en Joan Carles i'}",False,False,False,False,False,False,4,,,
104583787,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/ed/70/1231081955.webp,11299,19,249500.0,"{'price': {'amount': 249500.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 290000.0, 'priceDropValue': 40500, 'priceDropPercentage': 14}}}",flat,sale,190.0,True,4,2,barrio Centro,Alicante,Elche / Elx,Elche Ciudad,es,Centro,38.2665941,-0.6958622,False,https://www.idealista.com/inmueble/104583787/,320,"Zona centro, vivienda a la venta de 190 m2, 4 dormitorios, 2 baños, salón, cocina y galería. Ubicada en una zona privilegiada de Elche, cercano a la glorieta y a las Jesuitinas. Rodeada de todo tipo de servicios. Vivienda en buen estado de conservación. Precio de venta 290.000 €.",False,good,False,True,1313.0,{'typology': 'flat'},"{'subtitle': 'Centro, Elche / Elx', 'title': 'Piso'}",False,False,False,False,False,False,4,,,
104329955,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/4d/8f/1217001941.webp,GEANT00030688431,23,100000.0,"{'price': {'amount': 100000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 114000.0, 'priceDropValue': 14000, 'priceDropPercentage': 12}}}",flat,sale,141.0,True,4,1,barrio Carrús Oeste,Alicante,Elche / Elx,Elche Ciudad,es,Carrús Oeste,38.2689941,-0.7120136,False,https://www.idealista.com/inmueble/104329955/,1204,"Amplio piso en Elx, Alicante, ideal para familias. La vivienda dispone de una superficie de 141 m² construidos distribuidos en cuatro habitaciones, salón-comedor, cocina, un aseo y un balcón. El inmueble tiene mucha luz natural. La finca cuenta con ascensor y además el piso cuenta con un parking incluido en el precio. Está ubicado en el corazón de Elx, en sus alrededores encontramos la escuela CEIP Vicente Blasco Ibáñez, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de tren Elche/Elx Carrus. Cuenta con fácil acceso a Autovía del Mediterráneo. Ofrecemos posibilidad de financiación hasta el 100%.",False,renew,False,False,709.0,{'typology': 'flat'},"{'subtitle': 'Carrús Oeste, Elche / Elx', 'title': 'Piso'}",True,False,False,False,False,False,1,,,
99562798,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/24/7c/d9/1218855350.webp,VI-000-030-688-431,26,100000.0,"{'price': {'amount': 100000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 114000.0, 'priceDropValue': 14000, 'priceDropPercentage': 12}}}",flat,sale,141.0,,4,1,barrio Carrús Oeste,Alicante,Elche / Elx,Elche Ciudad,es,Carrús Oeste,38.2684236,-0.712223,False,https://www.idealista.com/inmueble/99562798/,1201,"Amplio piso en Elx, Alicante, ideal para familias. La vivienda dispone de una superficie de 141 m² construidos distribuidos en cuatro habitaciones, salón-comedor, cocina, un aseo y un balcón. El inmueble tiene mucha luz natural. La finca cuenta con ascensor y además el piso cuenta con un parking incluido en el precio. Está ubicado en el corazón de Elx, en sus alrededores encontramos la escuela CEIP Vicente Blasco Ibáñez, supermercados, bancos, bibliotecas, farmacias, oficinas de correos, centros deportivos y la estación de tren Elche/Elx Carrus. Cuenta con fácil acceso a Autovía del Mediterráneo.",False,good,False,True,709.0,{'typology': 'flat'},"{'subtitle': 'Carrús Oeste, Elche / Elx', 'title': 'Piso'}",True,False,True,False,False,False,3,,,
105336083,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/86/17/1249044742.webp,00274,48,199999.0,"{'price': {'amount': 199999.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 219000.0, 'priceDropValue': 19001, 'priceDropPercentage': 9}}}",flat,sale,128.0,True,3,2,calle Martín de Torres,Alicante,Elche / Elx,Elche Ciudad,es,Centro,38.2672529,-0.693687,False,https://www.idealista.com/inmueble/105336083/,522,AC home consulting gestiona la venta de esta vivienda situada en el centro. La vivienda ha sido reformada con materiales de primera calidad con 128m2 distribuidos en entrada directa al salón - cocina de 30m2 con luces led integradas para una iluminación cálida.,True,good,False,True,1562.0,{'typology': 'flat'},"{'subtitle': 'Centro, Elche / Elx', 'title': 'Piso en calle Martín de Torres'}",True,False,False,False,False,False,3,{'groupDescription': 'Destacado'},,
105856394,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/18/74/1265800506.webp,,23,99900.0,"{'price': {'amount': 99900.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 109900.0, 'priceDropValue': 10000, 'priceDropPercentage': 9}}}",flat,sale,107.0,True,2,2,calle Concepción Arenal,Alicante,Elche / Elx,Elche Ciudad,es,Plaza Crevillente-Juzgados,38.2580317,-0.7077641,False,https://www.idealista.com/inmueble/105856394/,1100,"¡Descubre tu nuevo hogar en el corazón de ELCHE! Este encantador piso de 107 m² en la segunda planta con ascensor te ofrece todo lo que necesitas para una vida cómoda y elegante. Construido en 1969, el inmueble ha sido reformado por completo y combina el encanto de lo clásico con las comodidades modernas. Dispone de dos amplias y luminosas habitaciones, una de ellas con baño en suite y jacuzzi, ideal para relajarte después de un largo día. Además, cuenta con otro baño completo con plato de ducha. El comedor es un espacio muy luminoso gracias a su balcón, perfecto para disfrutar de tus comidas con vistas. La cocina es amplia y está totalmente equipada, lista para que prepares tus mejores recetas. El piso cuenta con armarios empotrados que te ofrecen un gran espacio de almacenamiento. Ubicado en una zona maravillosa de ELCHE, tendrás a tu alcance todos los servicios necesarios como farmacias, colegios, supermercados y gimnasio. Aunque no dispone de calefacción, el aire acondicionado asegura tu confort durante todo el año. No pierdas la oportunidad de vivir en este acogedor piso que combina comodidad y una excelente ubicación. ¡Ven a visitarlo y enamórate de tu futuro hogar! Contamos con OPTIMA, nuestro departamento financiero, que podrá conseguirte una hipoteca de hasta el 100%.  ¡El estudio financiero es gratuito! ¡No dudes en contactar con nosotros para agendar tu vista!",False,good,False,True,934.0,{'typology': 'flat'},"{'subtitle': 'Plaza Crevillente-Juzgados, Elche / Elx', 'title': 'Piso en calle Concepción Arenal'}",False,False,False,False,False,False,3,,,
105093969,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/d8/cd/1241489212.webp,AF00236,43,199900.0,"{'price': {'amount': 199900.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 219000.0, 'priceDropValue': 19100, 'priceDropPercentage': 9}}}",flat,sale,118.0,True,3,2,calle Salazar Alonso,Alicante,Elche / Elx,Elche Ciudad,es,Centro,38.2669511,-0.6916241,False,https://www.idealista.com/inmueble/105093969/,679,"TU NUEVO PROYECTO EN EL CENTRO, EN UNA FINCA COMO NUEVA... y LA VIVIENDA SE ESTA TERMINANDO LA REFORMA PARA QUE LA ESTRENES TU Si buscas vivir en el centro, no hipotecarte para toda la vida y no tener sorpresas con la comunidad, esta es la solución.   Piso en Elche zona Centro, muy cercano al colegio Jesuitinas y a Mercadona de Av. Juan Carlos I en una finca con todos los aspectos técnicos actualizados: fachada, portal, ascensor, escaleras, patio de luces, terraza, videoportero, bajantes, colectores, pilares, instalación eléctrica y de fontanería.  105 m. de superficie util que van a permitirte vivir en la vivienda de tus sueños sin tener que estar contando metros o renunciando a ese ansiado vestidor.   La vivienda se nos presenta con un amplio salón-comedor muy luminosos con cocina de diseño con una isla en el centro, con gran mirador orientado al Sur, la habitación principal con baño en-suite y vestidor y dos habitaciones infantiles, un baño completo de servicio para niños y visitas.  Posibilidad de trastero en terraza. - EL PISO SE VENDE TERMINADO CON LA COCINA PUESTA Y LOS BAÑOS ACABADOS Y LOS CERRAMIENTOS DE LAS HABITACIONES.   Piso de, 118.00 m2 construidos de superficie se distrubulle en, 30 m2 de Salon comedor, una habitación doble y 2 habitaciones sencillas, 2 baños, propiedad reformada de diseño, cocina sólo muebles y con una isla en el centro, carpinteria interior de aluminio, orientación sur, suelo de tarima flotante, carpinteria exterior de aluminio / climalit. Extras: acceso pmr, agua, aire acond. central, ascensor, bomba frío y calor, galeria, luz, mirador, parquet, puerta blindada, videoportero, baño en suite, autobuses, árboles, céntrico, centros médicos, cerca de universidad, colegios, hospitales, parques, supermercados, zonas infantiles Gastos de comunidad: 30 Eur.",False,good,False,True,1694.0,{'typology': 'flat'},"{'subtitle': 'Centro, Elche / Elx', 'title': 'Piso en calle Salazar Alonso'}",False,False,False,False,False,False,3,,,
102563233,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/aa/03/49/1159690024.webp,38416879,3,30000.0,"{'price': {'amount': 30000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 33000.0, 'priceDropValue': 3000, 'priceDropPercentage': 9}}}",studio,sale,101.0,,0,2,calle Joaquin Garcia Mora,Alicante,Elche / Elx,Elche Ciudad,es,San Crispín,38.2747156,-0.7097851,False,https://www.idealista.com/inmueble/102563233/,1410,"Piso en venta ubicado en CALLE JOAQUIN GARCIA MORA, ELCHE/ELX. Superficie de 90 m2.  Oportunidad de inversión: inmueble procedente de ejecución hipotecaria sin posesión. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. El precio del inmueble ha sido fijado en atención a que el inmueble se adquiera por el comprador en estado de ocupado por lo que no aplicaría dicho precio si en el momento de formalización de la escritura pública el inmueble se encontrara libre de ocupantes. Imposibilidad de visita interior. Las fotografías pueden no corresponderse con el estado actual del inmueble.",False,good,False,,297.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'San Crispín, Elche / Elx', 'title': 'Estudio en calle Joaquin Garcia Mora'}",True,False,False,False,False,False,4,,,
