propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,highlight
104864763,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/e3/bc/1267178199.webp,4100-001400-01,22,2,995.0,"{'price': {'amount': 995.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1250.0, 'priceDropValue': 255, 'priceDropPercentage': 20}}}",flat,rent,75.0,True,2,1,calle Virgen de la Encarnación,Sevilla,Sevilla,Nervión,es,Luis Montoto - Santa Justa,37.3876854,-5.9802481,False,https://www.idealista.com/inmueble/104864763/,1351,"Disponible a partir del 1 de Julio. Moderno piso de 70 m2, en una excelente ubicación. Consta de 2 habitaciones, 1 baño con ducha y salón con cocina de concepto abierto, completamente equipada y amueblada. La vivienda dispone de aire acondicionado, es exterior y está amueblada. Tiene armarios empotrados, suelos de tarima y gran amplitud. Gastos de comunidad, agua y garaje incluidos en el precio.  Finca con ascensor. Ubicado en una de las mejores zonas de Sevilla. A cinco minutos de la Estación de trenes de Santa Justa. Paradas de autobús 21,24, 27 y A3 y parada de metro de Nervión.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",13.0,{'typology': 'flat'},"{'subtitle': 'Luis Montoto - Santa Justa, Sevilla', 'title': 'Piso en calle Virgen de la Encarnación'}",False,False,False,False,False,False,
105365814,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/e3/a0/1249887614.webp,A-2404,33,5,1250.0,"{'price': {'amount': 1250.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 250, 'priceDropPercentage': 17}}}",flat,rent,111.0,True,4,2,calle Trabajo,Sevilla,Sevilla,Triana,es,López de Gomara,37.3793373,-6.0057582,False,https://www.idealista.com/inmueble/105365814/,1369,"Se alquila piso en Triana. La vivienda se distribuye en 4 dormitorios, salón-comedor, cocina ofice y dos baños. CON TERRAZA. Planta 5ª con ascensor.  Excelente ubicación, junto a calle Esperanza de Triana, avd. República Argentina y parada del metro, así como junto a varias líneas de autobuses. La mensualidad incluye gastos de comunidad y agua. Suministros de luz a parte. Los honorarios por intermediación inmobiliaria son de una mensualidad para contrato por temporada, siendo este de un año.",False,good,False,True,,11.0,{'typology': 'flat'},"{'subtitle': 'López de Gomara, Sevilla', 'title': 'Piso en calle Trabajo'}",False,False,False,False,False,False,
101096603,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/ec/ed/1253361051.webp,San Martín,35,2,1900.0,"{'price': {'amount': 1900.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2190.0, 'priceDropValue': 290, 'priceDropPercentage': 13}}}",duplex,rent,127.0,True,3,2,plaza San Martín,Sevilla,Sevilla,Centro,es,Alameda,37.39429,-5.9909534,False,https://www.idealista.com/inmueble/101096603/,752,"Luminoso duplex con GRAN TERRAZA con hermosas vistas en pleno corazón de Sevilla, junto a la Iglesia de la Lanzada.  ¡VER VIDEO! El piso está amueblado tal y como aparece en las fotos. Cuando se hizo el video aún no se había amueblado completamente.  ¡Se alquila amueblado!  En planta baja tiene salón con dos balcones a una calle tranquila, cocina independiente, dos dormitorios y un baño completo con bañera.  En segunda planta se encuentra una habitación suite con cuarto de baño completo y armario empotrado en vestíbulo independiente.  Todas las estancias con aire acondicionado frío/calor independientes.  Desde el dormitorio principal se accede a un amplia terraza de unos 40 metros y a un solarium con vistas 360º de la ciudad.  El edificio tiene muy buenas calidades y aunque es de reciente construcción conserva la estética de las fachadas típicas de la zona. Hermosa fachada con artesanados, Sólo dos pisos por planta. Edificio muy tranquilo y agradable. ASCENSOR.  OPORTUNIDAD DE VIVIR EN EL CENTRO HISTÓRICO DE SEVILLA CON AMPLIAS TERRAZAS PARA DISFRUTAR DEL SOL TODO EL AÑO.  TEMPORADAS.",True,good,False,True,,15.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Alameda, Sevilla', 'title': 'Dúplex en plaza San Martín'}",False,False,False,False,False,False,
90883298,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/b7/9a/800870116.webp,,18,bj,850.0,"{'price': {'amount': 850.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 950.0, 'priceDropValue': 100, 'priceDropPercentage': 11}}}",duplex,rent,80.0,True,2,2,"Galera, 31",Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.387412,-5.9985859,True,https://www.idealista.com/inmueble/90883298/,301,"Disponibilidad inmediata. ""Estupendo apartamento dúplex en pleno centro de Sevilla, en el barrio del Arenal, rodeado de todos los servicios necesarios. Cuenta con dos dormitorios, 2 baños, salón comedor con cocina amueblada con electrodomésticos, aire acondicionado frio /calor en todas las habitaciones, techos muy altos con las vigas vistas. Es un apartamento con gran encanto en un lugar inmejorable. No se admiten mascotas. No se alquila por temporada, mínimo un año de contrato. Para contactar: José Carlos.",False,good,False,False,,11.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Dúplex en Galera, 31'}",False,False,False,False,False,False,
105628216,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/c2/6a/1258248402.webp,,24,1,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1450.0, 'priceDropValue': 150, 'priceDropPercentage': 10}}}",flat,rent,140.0,True,3,2,calle Amor de Dios,Sevilla,Sevilla,Centro,es,Encarnación-Las Setas,37.3954848,-5.992923,False,https://www.idealista.com/inmueble/105628216/,801,"Dogo Properties alquila amplio piso en pleno centro de Sevilla, en la calle Amor de Dios. En cuanto a los muebles, la vivienda se alquila SIN AMUEBLAR, salvo armarios y cocina. La vivienda tiene aproximadamente 120m2 útiles (140m2 construidos) distribuidos de la siguiente manera: - Hall de entrada. - Salón con 2 balcones a la calle Amor de Dios y chimenea funcional. - Comedor, con balcón a la misma calle. - Cocina independiente, con lavadero y salida a patio interior privativo. - 3 dormitorios. Uno de ellos con salida a patio interior privativo y los otros, con ventanas a amplio patio trasero del edificio, con arboleda. - 1 aseo. - 1 baño. Cuenta con armarios empotrados en habitaciones y en pasillos, muy amplios. Dispone de aire acondicionado en salón y en uno de los dormitorios. Todas las ventanas son de aluminio, con cristales Climalit. Las ventanas de los balcones exteriores tienen rejas. El edificio cuenta con ascensor y está adaptado para personas con movilidad reducida. Dispone de amplio patio interior privado con arboleda y aparcamiento para bicicletas. Los suministros electricidad y gas (para agua caliente sanitaria y cocina) correrán por cuenta de la parte arrendataria. El suministro de agua está incluido en la cuota comunitaria, que corre por cuenta del propietario. Visítelo sin compromiso.  Se requiere 1 mes de fianza. Se comprobará solvencia económica de la parte arrendataria. Consúltenos sin compromiso.  D. I. A. (Documento Informativo Abreviado) a disposición del consumidor. arr.",True,good,False,True,,9.0,{'typology': 'flat'},"{'subtitle': 'Encarnación-Las Setas, Sevilla', 'title': 'Piso en calle Amor de Dios'}",True,False,True,False,False,False,
104323288,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/30/8e/1216809487.webp,A-6371,27,2,950.0,"{'price': {'amount': 950.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1050.0, 'priceDropValue': 100, 'priceDropPercentage': 10}}}",flat,rent,83.0,True,2,2,calle General Castaños,Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.3865426,-5.9965131,False,https://www.idealista.com/inmueble/104323288/,242,"¡Increíble piso en alquiler en Sevilla! Catedral Asesores Inmobiliarios ofrece este maravilloso inmueble de 83 m² const. El piso consta de un luminoso salón/comedor, una cocina equipada con electrodomésticos y dos balcones a la calle que brindan una agradable entrada de luz natural. Además, cuenta con dos dormitorios, cada uno con un ventanal que permite disfrutar de luminosidad. El dormitorio principal cuenta con un amplio armario empotrado y un baño privado con ducha. En el pasillo que distribuye a los dormitorios dispone de un cuarto de aseo con ventana a patio de luces. En todas las estancias encontrarás un sistema de aire acondicionado frio/calor que te permitirá disfrutar de una temperatura ideal durante todo el año. La solería de mármol le da un toque de elegancia a cada rincón de este encantador piso. Se puede alquilar también vacío El alquiler de este inmueble solo es posible por estancias mínimas de 1 año. La finca cuenta con ascensor y los gastos de comunidad están incluidos en el precio del alquiler. La ubicación es inmejorable, junto a la plaza de toros y a pocos minutos a pie de la Plaza Nueva y el barrio de Santa Cruz. Además, encontrarás comercios, restaurantes, supermercados, ambulatorios y colegios en las cercanías. El acceso a paradas de autobús y taxi es fácil, y tendrás una rápida salida al Paseo de Colón  No pierdas la oportunidad de vivir en este espectacular piso. ¡Llámanos ahora para concertar una visita!",False,good,False,True,,11.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso en calle General Castaños'}",True,False,False,False,False,False,
105285768,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/c3/3f/1247498482.webp,,36,4,2250.0,"{'price': {'amount': 2250.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2500.0, 'priceDropValue': 250, 'priceDropPercentage': 10}}}",flat,rent,200.0,True,3,2,calle San Pablo s/n,Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.3902009,-5.9982988,True,https://www.idealista.com/inmueble/105285768/,306,"El hogar que buscas en Sevilla: un fantástico piso ubicado en plano casco histórico, en CALLE SAN PABLO.  Situado en una cuarta planta con ascensor, esta vivienda constituye una gran oportunidad para vivir en esta estratégica zona de la capital sevillana disfrutando de todas las comodidades. Esta vivienda exterior se encuentra muy bien distribuida en sus 200 m² construidos y dispone de orientación sur-este con ventilación cruzada. Consta de un luminoso salón-comedor con terraza, una amplia cocina amueblada con lavadero, suite principal con baño dotado de bañera de hidromasaje y cabina-ducha igualmente de hidromasaje y gran vestidor, dormitorio con armario empotrado, segundo baño, aseo y una tercera estancia con posibilidad de ser, bien ampliación del salón, bien un tercer dormitorio.  Totalmente reformado y con terminaciones de altas calidades. Así mismo, el piso también incluye aire acondicionado centralizado, suelos de mármol y tarima flotante en zonas de noche, carpintería interior de madera lacada y exterior de PVC oscilobatientes. segunda puerta de acceso a la vivienda de servicio y garaje opcional, es decir, cuenta con unas características inmejorables. Este inmueble se encuentra en una zona céntrica, muy comercial y estratégica, a unos pasos caminando del Puente de Triana y de los edificios que hay junto a la catedral, un trío de monumentos declarados Patrimonio de la Humanidad por la UNESCO que se completa con el Real Alcázar y el Real Archivo de Indias. El primero, uno de los palacios en uso más antiguos del mundo, refleja en su arquitectura la influencia de todas las civilizaciones que han habitado sus muros desde su construcción a finales del siglo XI, en época musulmana. El segundo, fundado por Carlos III en 1785 en la antigua Casa Lonja de Mercaderes, conserva en su ingente documentación la memoria viva de un pasado glorioso en el que Sevilla era la puerta del comercio con las Indias.  Igualmente, se puede llegar caminando a La Plaza de la Encarnación, conocida por Las Setas, una enorme estructura diseñada por el arquitecto alemán Jürgen Mayer que ejerce al mismo tiempo como parasol y como vanguardista mirador de los alrededores. Respecto al transporte tiene plena comunicación con el resto de la ciudad. ¡No pierda esta oportunidad! Llámenos y concrete una visita. Precio: 2500€. Honorarios profesionales de la agencia inmobiliaria para el inquilino incluidos en el precio. A disposición de los Inquilinos la documentación requerida en el decreto 218/2005 de la Junta de Andalucía. "".",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso en calle San Pablo s/n'}",False,False,False,False,False,False,
104985998,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/f4/34/1259910514.webp,MB-0218FI,38,3,2250.0,"{'price': {'amount': 2250.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2500.0, 'priceDropValue': 250, 'priceDropPercentage': 10}}}",flat,rent,207.0,True,3,3,barrio Arenal - Museo - Tetuán,Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.3901538,-5.9976271,False,https://www.idealista.com/inmueble/104985998/,257,"Fantástico piso de 200 metros con parking privado en el mismo edificio, en pleno centro de Sevilla con una ubicación inmejorable, cerca del Rio Guadalquivir, fácil acceso desde la SE-30 y salida de la ciudad.  El piso consta de 3 dormitorios donde el principal es una pequeña suite, con un gran vestidor y un cuarto de baño de ensueño. Tiene tres baños, cocina salón y salón comedor. Dispone de Ascensor. En el corazón del centro de Sevilla en la zona comercial y de ocio, calles peatonales, plaza nueva, en poco tiempo se llega a la plaza del duque, en definitiva, un lugar de ensueño, desde donde podrá disfrutar, de una gran parte, de la Semana Santa Sevillana desde su gran balcón.",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso'}",False,False,False,False,False,False,
105496597,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/7d/51/1254075913.webp,,35,3,2250.0,"{'price': {'amount': 2250.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2500.0, 'priceDropValue': 250, 'priceDropPercentage': 10}}}",flat,rent,200.0,True,3,3,calle Reyes Católicos,Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.3895652,-6.0008234,False,https://www.idealista.com/inmueble/105496597/,483,"¡Descubre el lujo en el corazón de Sevilla! Este impresionante piso de 200 m² con plaza de garaje incluida, ubicado en el casco histórico, ofrece una combinación perfecta de elegancia y comodidad. Al entrar, serás recibido por un salón luminoso con balcones que inundan el espacio de luz natural. La cocina, completamente amueblada y equipada, es un sueño para cualquier amante de la gastronomía. Además, cuenta con un espacio versátil que puede ser utilizado como comedor o despacho, adaptándose a tus necesidades. El dormitorio principal es un auténtico refugio de paz, con vestidor y baño en suite. El segundo dormitorio no se queda atrás, también dispone de vestidor y baño propio, garantizando privacidad y confort. Un tercer baño completo se encuentra en el pasillo distribuidor, ideal para invitados. La habitación de servicio y plancha colindante a la cocina añade un toque de funcionalidad extra a este hogar. Este piso está en perfecto estado y es apto para personas con movilidad reducida. Disfruta de momentos al aire libre en sus balcónes.  No pierdas la oportunidad de vivir en una ubicación inmejorable, rodeado de historia y cultura. Con aire acondicionado centralizado, ascensor y calefacción, este piso lo tiene todo para convertirse en tu próximo hogar. ¡Ven a conocerlo y enamórate de tu nuevo hogar en Sevilla!",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso en calle Reyes Católicos'}",False,False,False,False,False,False,
105089211,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a9/6b/88/1241320049.webp,,53,3,2250.0,"{'price': {'amount': 2250.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2500.0, 'priceDropValue': 250, 'priceDropPercentage': 10}}}",flat,rent,200.0,True,3,3,barrio Arenal - Museo - Tetuán,Sevilla,Sevilla,Centro,es,Arenal - Museo - Tetuán,37.3909717,-5.9982413,False,https://www.idealista.com/inmueble/105089211/,360,"**Señorial Piso en Alquiler en el Corazón de Sevilla** Descubre este magnífico piso de lujo con PLAZA DE GARAJE situado en pleno casco histórico de Sevilla, entre la emblemática Magdalena y el icónico Puente de Triana. Con una superficie de 200 m², esta vivienda ofrece unas calidades excepcionales y un diseño pensado para el máximo confort. El aire acondicionado centralizado asegura una temperatura perfecta durante todo el año. Al entrar, te recibe un amplio hall que da paso a un salón luminoso con dos balcones, ideales para disfrutar de las vistas y la brisa sevillana. Las puertas correderas conectan con un espacio versátil que puede ser utilizado como comedor o despacho, adaptándose a tus necesidades. El gran dormitorio principal cuenta con suelo de roble, un impresionante vestidor con armarios de espejo y un baño en suite equipado con ducha de hidromasaje y una gran bañera. El segundo dormitorio también dispone de vestidor y baño propio, garantizando privacidad y comodidad para todos los habitantes. La cocina es un sueño hecho realidad para cualquier amante de la gastronomía, completamente amueblada y equipada con electrodomésticos de alta calidad. Además, hay un baño completo en el pasillo distribuidor y una práctica habitación de servicio y plancha colindante a la cocina. La vivienda está en perfecto estado, apta para personas con movilidad reducida y situada en la tercera planta de un edificio con ascensor. Además, cuenta con una terraza y balcón para disfrutar del aire libre sin salir de casa. Posibilidad plaza de garaje  No pierdas la oportunidad de vivir en este exclusivo piso que combina lujo, comodidad y una ubicación inmejorable. ¡Contáctanos para más información y agenda tu visita hoy mismo!",False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'},"{'subtitle': 'Arenal - Museo - Tetuán, Sevilla', 'title': 'Piso'}",False,False,False,False,False,False,
