No,X1,X2,X3,X4,X5,X6,Y
1,a,32,84.87882,10,24.98298,121.54024,37.9
2,a,19.5,306.5947,9,24.98034,121.53951,42.2
3,b,13.3,561.9845,5,24.98746,121.54391,47.3
4,b,13.3,561.9845,5,24.98746,121.54391,54.8
5,a,5,390.5684,5,24.97937,121.54245,43.1
6,a,7.1,2175.03,3,24.96305,121.51254,32.1
7,a,34.5,623.4731,7,24.97933,121.53642,40.3
8,b,20.3,287.6025,6,24.98042,121.54228,46.7
9,b,31.7,5512.038,1,24.95095,121.48458,18.8
10,b,17.9,1783.18,3,24.96731,121.51486,22.1
11,b,34.8,405.2134,1,24.97349,121.53372,41.4
12,b,6.3,90.45606,9,24.97433,121.5431,58.1
13,a,13,492.2313,5,24.96515,121.53737,39.3
14,a,20.4,2469.645,4,24.96108,121.51046,23.8
15,b,13.2,1164.838,4,24.99156,121.53406,34.3
16,b,35.7,579.2083,2,24.9824,121.54619,50.5
17,b,0,292.9978,6,24.97744,121.54458,70.1
18,a,17.7,350.8515,1,24.97544,121.53119,37.4
19,b,16.9,368.1363,8,24.9675,121.54451,42.3
20,a,1.5,23.38284,7,24.96772,121.54102,47.7
21,b,4.5,2275.877,3,24.96314,121.51151,29.3
22,b,10.5,279.1726,7,24.97528,121.54541,51.6
23,a,14.7,1360.139,1,24.95204,121.54842,24.6
24,b,10.1,279.1726,7,24.97528,121.54541,47.9
25,b,39.6,480.6977,4,24.97353,121.53885,38.8
26,b,29.3,1487.868,2,24.97542,121.51726,27
27,a,3.1,383.8624,5,24.98085,121.54391,56.2
28,b,10.4,276.449,5,24.95593,121.53913,33.6
29,b,19.2,557.478,4,24.97419,121.53797,47
30,b,7.1,451.2438,5,24.97563,121.54694,57.1
31,b,25.9,4519.69,0,24.94826,121.49587,22.1
32,a,29.6,769.4034,7,24.98281,121.53408,25
33,a,37.9,488.5727,1,24.97349,121.53451,34.2
34,b,16.5,323.655,6,24.97841,121.54281,49.3
35,a,15.4,205.367,7,24.98419,121.54243,55.1
36,b,13.9,4079.418,0,25.01459,121.51816,27.3
37,a,14.7,1935.009,2,24.96386,121.51458,22.9
38,b,12,1360.139,1,24.95204,121.54842,25.3
39,a,3.1,577.9615,6,24.97201,121.54722,47.7
40,b,16.2,289.3248,5,24.98203,121.54348,46.2
41,b,13.6,4082.015,0,24.94155,121.50381,15.9
42,b,16.8,4066.587,0,24.94297,121.50342,18.2
43,b,36.1,519.4617,5,24.96305,121.53758,34.7
44,a,34.4,512.7871,6,24.98748,121.54301,34.1
45,b,2.7,533.4762,4,24.97445,121.54765,53.9
